Y's_pl. _ of Y
Ys_pl. _ of Y
Y-__ Alt. of I-_ A prefix of obscure meaning, originally used with verbs, adverbs, adjectives, nouns, and pronouns. In the Middle English period, it was little employed except with verbs, being chiefly used with past participles, though occasionally with the infinitive Ycleped, or yclept, is perhaps the only word not entirely obsolete which shows this use.
Ya_adv._ Yea.
Yacare_n._ A South American crocodilian (Jacare sclerops) resembling the alligator in size and habits. The eye orbits are connected together, and surrounded by prominent bony ridges. Called also spectacled alligator, and spectacled cayman.
Yacca_n._ A West Indian name for two large timber trees (Podocarpus coriaceus, and P. Purdicanus) of the Yew family. The wood, which is much used, is pale brownish with darker streaks.
Yacht_n._ A light and elegantly furnished vessel, used either for private parties of pleasure, or as a vessel of state to convey distinguished persons from one place to another; a seagoing vessel used only for pleasure trips, racing, etc.
Yacht_v. i._ To manage a yacht; to voyage in a yacht.
Yachter_n._ One engaged in sailing a jacht.
Yachting_n._ Sailing for pleasure in a yacht.
Yachtman_n._ See Yachtsman.
Yachtsmen_pl. _ of Yachtsman
Yachtsman_n._ One who owns or sails a yacht; a yachter.
Yaf_imp._ Gave.  See Give.
Yaffingale_n._ The yaffle.
Yaffle_n._ The European green woodpecker (Picus, / Genius, viridis). It is noted for its loud laughlike note. Called also eccle, hewhole, highhoe, laughing bird, popinjay, rain bird, yaffil, yaffler, yaffingale, yappingale, yackel, and woodhack.
Yager_n._ In the German army, one belonging to a body of light infantry armed with rifles, resembling the chasseur of the French army.
Yaguarundi_n._ Same as Jaguarondi.
Yajur-Veda_n._ See Veda.
Yak_n._ A bovine mammal (Poephagus grunnies) native of the high plains of Central Asia. Its neck, the outer side of its legs, and its flanks, are covered with long, flowing, fine hair. Its tail is long and bushy, often white, and is valued as an ornament and for other purposes in India and China. There are several domesticated varieties, some of which lack the mane and the long hair on the flanks. Called also chauri gua, grunting cow, grunting ox, sarlac, sarlik, and sarluc.
Yakamilk_n._ See Trumpeter, 3 (a).
Yakare_n._ Same as Yacare.
Yakin_n._ A large Asiatic antelope (Budorcas taxicolor) native of the higher parts of the Himalayas and other lofty mountains. Its head and neck resemble those of the ox, and its tail is like that of the goat. Called also budorcas.
Yakoots_n. pl._  (Ethnol.) A nomadic Mongolian tribe native of Northern Siberia, and supposed to be of Turkish stock. They are mainly pastoral in their habits.
Yaksha_n._ A kind of demigod attendant on Kuvera, the god of wealth.
Yalah_n._ The oil of the mahwa tree.
Yam_n._ A large, esculent, farinaceous tuber of various climbing plants of the genus Dioscorea; also, the plants themselves. Mostly natives of warm climates. The plants have netted-veined, petioled leaves, and pods with three broad wings. The commonest species is D. sativa, but several others are cultivated.
Yama_n._ The king of the infernal regions, corresponding to the Greek Pluto, and also the judge of departed souls. In later times he is more exclusively considered the dire judge of all, and the tormentor of the wicked. He is represented as of a green color, with red garments, having a crown on his head, his eyes inflamed, and sitting on a buffalo, with a club and noose in his hands.
Yamma_n._ The llama.
