Vaagmer_n._ The dealfish.
Vacancies_pl. _ of Vacancy
Vacancy_n._ The quality or state of being vacant; emptiness; hence, freedom from employment; intermission; leisure; idleness; listlessness._ That which is vacant._ Empty space; vacuity; vacuum._ An open or unoccupied space between bodies or things; an interruption of continuity; chasm; gap; as, a vacancy between buildings; a vacancy between sentences or thoughts._ Unemployed time; interval of leisure; time of intermission; vacation._ A place or post unfilled; an unoccupied office; as, a vacancy in the senate, in a school, etc.
Vacant_a._ Deprived of contents; not filled; empty; as, a vacant room._ Unengaged with business or care; unemployed; unoccupied; disengaged; free; as, vacant hours._ Not filled or occupied by an incumbent, possessor, or officer; as, a vacant throne; a vacant parish._ Empty of thought; thoughtless; not occupied with study or reflection; as, a vacant mind._ Abandoned; having no heir, possessor, claimant, or occupier; as, a vacant estate.
Vacantly_adv._ In a vacant manner; inanely.
Vacated_imp. & p. p._ of Vacate
Vacating_p. pr. & vb. n._ of Vacate
Vacate_v. t._ To make vacant; to leave empty; to cease from filling or occupying; as, it was resolved by Parliament that James had vacated the throne of England; the tenant vacated the house._ To annul; to make void; to deprive of force; to make of no authority or validity; as, to vacate a commission or a charter; to vacate proceedings in a cause._ To defeat; to put an end to.
Vacation_n._ The act of vacating; a making void or of no force; as, the vacation of an office or a charter._ Intermission of a stated employment, procedure, or office; a period of intermission; rest; leisure._ Intermission of judicial proceedings; the space of time between the end of one term and the beginning of the next; nonterm; recess._ The intermission of the regular studies and exercises of an educational institution between terms; holidays; as, the spring vacation._ The time when an office is vacant; esp. (Eccl.), the time when a see, or other spiritual dignity, is vacant.
Vaccary_n._ A cow house, dairy house, or cow pasture.
Vaccina_n._ Vaccinia.
Vaccinal_a._ Of or pertaining to vaccinia or vaccination.
Vaccinated_imp. & p. p._ of Vaccinate
Vaccinating_p. pr. & vb. n._ of Vaccinate
Vaccinate_v. t._ To inoculate with the cowpox by means of a virus, called vaccine, taken either directly or indirectly from cows.
Vaccination_n._ The act, art, or practice of vaccinating, or inoculating with the cowpox, in order to prevent or mitigate an attack of smallpox.  Cf. Inoculation.
Vaccinator_n._ One who, or that which, vaccinates.
Vaccine_a._ Of or pertaining to cows; pertaining to, derived from, or caused by, vaccinia; as, vaccine virus; the vaccine disease.
Vaccine_n._ The virus of vaccinia used in vaccination._ any preparation used to render an organism immune to some disease, by inducing or increasing the natural immunity mechanisms.  Prior to 1995, such preparations usually contained killed organisms of the type for which immunity was desired, and sometimes used live organisms having attenuated virulence.  since that date, preparations containing only specific antigenic portions of the pathogenic organism are also used, some of which are prepared by genetic engineering techniques.
Vaccinia_n._ Cowpox; vaccina. See Cowpox.
Vaccinist_n._ A vaccinator.
Vaccinium_n._ A genus of ericaceous shrubs including the various kinds of blueberries and the true cranberries.
Vacher_n._ A keeper of stock or cattle; a herdsman.
Vachery_n._ An inclosure for cows._ A dairy.
Vacillancy_n._ The quality or state of being vacillant, or wavering.
Vacillant_a._ Vacillating; wavering; fluctuating; irresolute.
Vacillated_imp. & p. p._ of Vacillate
Vacillating_p. pr. & vb. n._ of Vacillate
Vacillate_v. t._ To move one way and the other; to reel or stagger; to waver._ To fluctuate in mind or opinion; to be unsteady or inconstant; to waver.
Vacillating_a._ Inclined to fluctuate; wavering.
Vacillation_n._ The act of vacillating; a moving one way and the other; a wavering.
Vacillatory_a._ Inclined to vacillate; wavering; irresolute.
Vacuate_v. t._ To make void, or empty.
Vacuation_n._ The act of emptying; evacuation.
Vacuist_n._ One who holds the doctrine that the space between the bodies of the universe, or the molecules and atoms of matter., is a vacuum; -- opposed to plenist.
Vacuity_n._ The quality or state of being vacuous, or not filled; emptiness; vacancy; as, vacuity of mind; vacuity of countenance._ Space unfilled or unoccupied, or occupied with an invisible fluid only; emptiness; void; vacuum._ Want of reality; inanity; nihility.
Vacuna_n._ The goddess of rural leisure, to whom the husbandmen sacrificed at the close of the harvest. She was especially honored by the Sabines.
Vacuolated_a._ Full of vacuoles, or small air cavities; as, vacuolated cells.
Vacuolation_n._ Formation into, or multiplication of, vacuoles.
Vacuole_n._ A small air cell, or globular space, in the interior of organic cells, either containing air, or a pellucid watery liquid, or some special chemical secretions of the cell protoplasm.
Vacuous_a._ Empty; unfilled; void; vacant.
Vacuousness_n._ The quality or state of being vacuous; emptiness; vacuity.
Vacuums_pl. _ of Vacuum
Vacua_pl. _ of Vacuum
Vacuum_n._ A space entirely devoid of matter (called also, by way of distinction, absolute vacuum); hence, in a more general sense, a space, as the interior of a closed vessel, which has been exhausted to a high or the highest degree by an air pump or other artificial means; as, water boils at a reduced temperature in a vacuum._ The condition of rarefaction, or reduction of pressure below that of the atmosphere, in a vessel, as the condenser of a steam engine, which is nearly exhausted of air or steam, etc.; as, a vacuum of 26 inches of mercury, or 13 pounds per square inch.
Vadantes_n. pl._ An extensive artificial group of birds including the wading, swimming, and cursorial birds.
Vade_v. i._ To fade; hence, to vanish.
Vade mecum__ A book or other thing that a person carries with him as a constant companion; a manual; a handbook.
Vadimony_n._ A bond or pledge for appearance before a judge on a certain day.
Vadium_n._ Pledge; security; bail. See Mortgage.
Vae_n._ See Voe.
Vafrous_a._ Crafty; cunning; sly; as, vafrous tricks.
Vagabond_a._ Moving from place to place without a settled habitation; wandering._ Floating about without any certain direction; driven to and fro._ Being a vagabond; strolling and idle or vicious.
Vagabond_n._ One who wanders from place to place, having no fixed dwelling, or not abiding in it, and usually without the means of honest livelihood; a vagrant; a tramp; hence, a worthless person; a rascal.
Vagabond_v. i._ To play the vagabond; to wander like a vagabond; to stroll.
Vagabondage_n._ The condition of a vagabond; a state or habit of wandering about in idleness; vagrancy.
Vagabondism_n._ Vagabondage.
Vagabondize_v. i._ To play the vagabond; to wander about in idleness.
Vagabondry_n._ Vagabondage.
Vagal_a._ Of or pertaining to the vagus, or pneumogastric nerves; pneumogastric.
Vagancy_n._ A wandering; vagrancy.
Vagantes_p. pl._ A tribe of spiders, comprising some of those which take their prey in a web, but which also frequently run with agility, and chase and seize their prey.
Vagarious_a._ Given to, or characterized by, vagaries; capricious; whimsical; crochety.
Vagaries_pl. _ of Vagary
Vagary_n._ A wandering or strolling._ Hence, a wandering of the thoughts; a wild or fanciful freak; a whim; a whimsical purpose.
Vagient_a._ Crying like a child.
Vaginae_pl. _ of Vagina
Vagina_n._ A sheath; a theca; as, the vagina of the portal vein._ Specifically, the canal which leads from the uterus to the external orifice if the genital canal, or to the cloaca._ The terminal part of the oviduct in insects and various other invertebrates. See Illust., of Spermatheca._ The basal expansion of certain leaves, which inwraps the stem; a sheath._ The shaft of a terminus, from which the bust of figure seems to issue or arise.
Vaginal_a._ Of or pertaining to a vagina; resembling a vagina, or sheath; thecal; as, a vaginal synovial membrane; the vaginal process of the temporal bone._ Of or pertaining to the vagina of the genital canal; as, the vaginal artery.
Vaginant_a._ Serving to in invest, or sheathe; sheathing.
Vaginate_a._ Alt. of Vaginated
Vaginated_a._ Invested with, or as if with, a sheath; as, a vaginate stem, or one invested by the tubular base of a leaf.
Vaginati_n. pl._ A tribe of birds comprising the sheathbills.
Vaginervose_a._ Having the nerves, or veins, placed in apparent disorder.
Vaginicola_n._ A genus of Infusoria which form minute vaselike or tubular cases in which they dwell.
Vaginismus_n._ A painful spasmodic contraction of the vagina, often rendering copulation impossible.
Vaginitis_n._ Inflammation of the vagina, or the genital canal, usually of its mucous living membrane.
Vaginopennous_a._ Having elytra; sheath-winged.
Vaginula_n._ A little sheath, as that about the base of the pedicel of most mosses._ One of the tubular florets in composite flowers.
Vaginule_n._ A vaginula.
Vagissate_v. i._ To caper or frolic.
Vagous_a._ Wandering; unsettled.
Vagrancy_n._ The quality or state of being a vagrant; a wandering without a settled home; an unsettled condition; vagabondism.
Vagrant_a._ Moving without certain direction; wandering; erratic; unsettled._ Wandering from place to place without any settled habitation; as, a vagrant beggar.
Vagrant_n._ One who strolls from place to place; one who has no settled habitation; an idle wanderer; a sturdy beggar; an incorrigible rogue; a vagabond.
Vagrantly_adv._ In a vagrant manner.
Vagrantness_n._ State of being vagrant; vagrancy.
Vague_v. i._ Wandering; vagrant; vagabond._ Unsettled; unfixed; undetermined; indefinite; ambiguous; as, a vague idea; a vague proposition._ Proceeding from no known authority; unauthenticated; uncertain; flying; as, a vague report.
Vague_n._ An indefinite expanse.
Vague_v. i._ To wander; to roam; to stray.
Vague_n._ A wandering; a vagary.
Vaguely_adv._ In a vague manner.
Vagueness_n._ The quality or state of being vague.
Vagus_a._ Wandering; -- applied especially to the pneumogastric nerve.
Vagus_n._ The vagus, ore pneumogastric, nerve.
Vail_n. & v. t._ Same as Veil.
Vail_n._ Avails; profit; return; proceeds._ An unexpected gain or acquisition; a casual advantage or benefit; a windfall._ Money given to servants by visitors; a gratuity; -- usually in the plural.
Vail_v. t._ To let fail; to allow or cause to sink._ To lower, or take off, in token of inferiority, reverence, submission, or the like.
