O's_pl. _ of O
Oes_pl. _ of O
O'__ A prefix to Irish family names, which signifies grandson or descendant of, and is a character of dignity; as, O'Neil, O'Carrol.
O'_prep._ A shortened form of of or on.
Oad_n._ See Woad.
Oaf_n._ Originally, an elf's child; a changeling left by fairies or goblins; hence, a deformed or foolish child; a simpleton; an idiot.
Oafish_a._ Like an oaf; simple.
Oak_n._ Any tree or shrub of the genus Quercus. The oaks have alternate leaves, often variously lobed, and staminate flowers in catkins. The fruit is a smooth nut, called an acorn, which is more or less inclosed in a scaly involucre called the cup or cupule. There are now recognized about three hundred species, of which nearly fifty occur in the United States, the rest in Europe, Asia, and the other parts of North America, a very few barely reaching the northern parts of South America and Africa. Many of the oaks form forest trees of grand proportions and live many centuries. The wood is usually hard and tough, and provided with conspicuous medullary rays, forming the silver grain._ The strong wood or timber of the oak.
Oaken_a._ Made or consisting of oaks or of the wood of oaks.
Oaker_n._ See Ocher.
Oakling_n._ A young oak.
Oakum_n._ The material obtained by untwisting and picking into loose fiber old hemp ropes; -- used for calking the seams of ships, stopping leaks, etc._ The coarse portion separated from flax or hemp in nackling.
Oaky_n._ Resembling oak; strong.
Oar_n_ An implement for impelling a boat, being a slender piece of timber, usually ash or spruce, with a grip or handle at one end and a broad blade at the other. The part which rests in the rowlock is called the loom._ An oarsman; a rower; as, he is a good oar._ An oarlike swimming organ of various invertebrates.
Oared_imp. & p. p._ of Oar
Oaring_p. pr. & vb. n._ of Oar
Oar_v. t. & i._ To row.
Oared_a._ Furnished with oars; -- chiefly used in composition; as, a four-oared boat._ Having feet adapted for swimming._ Totipalmate; -- said of the feet of certain birds. See Illust. of Aves.
Oarfish_n._ The ribbon fish.
Oarfoot_n._ Any crustacean of the genus Remipes.
Oar-footed_a._ Having feet adapted for swimming.
Oarless_a._ Without oars.
Oarlock_n._ The notch, fork, or other device on the gunwale of a boat, in which the oar rests in rowing.  See Rowlock.
Oarsmen_pl. _ of Oarsman
Oarsman_n._ One who uses, or is skilled in the use of, an oar; a rower.
Oarsweed_n._ Any large seaweed of the genus Laminaria; tangle; kelp.  See Kelp.
Oary_a._ Having the form or the use of an oar; as, the swan's oary feet.
Oases_pl. _ of Oasis
Oasis_n._ A fertile or green spot in a waste or desert, esp. in a sandy desert.
Oast_n._ A kiln to dry hops or malt; a cockle.
Oats_pl. _ of Oat
Oat_n._ A well-known cereal grass (Avena sativa), and its edible grain; -- commonly used in the plural and in a collective sense._ A musical pipe made of oat straw.
Oatcake_n._ A cake made of oatmeal.
Oaten_a._ Consisting of an oat straw or stem; as, an oaten pipe._ Made of oatmeal; as, oaten cakes.
Oaths_pl. _ of Oath
Oath_n._ A solemn affirmation or declaration, made with a reverent appeal to God for the truth of what is affirmed._ A solemn affirmation, connected with a sacred object, or one regarded as sacred, as the temple, the altar, the blood of Abel, the Bible, the Koran, etc._ An appeal (in verification of a statement made) to a superior sanction, in such a form as exposes the party making the appeal to an indictment for perjury if the statement be false._ A careless and blasphemous use of the name of the divine Being, or anything divine or sacred, by way of appeal or as a profane exclamation or ejaculation; an expression of profane swearing.
Oathable_a._ Capable of having an oath administered to.
Oathbreaking_n._ The violation of an oath; perjury.
Oatmeal_n._ Meal made of oats._ A plant of the genus Panicum; panic grass.
Ob-__ A prefix signifying to, toward, before, against, reversely, etc.; also, as a simple intensive; as in oblige, to bind to; obstacle, something standing before; object, lit., to throw against; obovate, reversely, ovate. Ob- is commonly assimilated before c, f, g, and p, to oc-, of-, og-, and op-.
Obcompressed_a._ Compressed or flattened antero-posteriorly, or in a way opposite to the usual one.
Obconic_a._ Alt. of Obconical
Obconical_a._ Conical, but having the apex downward; inversely conical.
Obcordate_a._ Heart-shaped, with the attachment at the pointed end; inversely cordate: as, an obcordate petal or leaf.
Obdiplostemonous_a._ Having twice as many stamens as petals, those of the outer set being opposite the petals; -- said of flowers.
Obdiplostemony_n._ The condition of being obdiplostemonous.
Obdormition_n._ Sleep.
Obduce_v. t._ To draw over, as a covering.
Obduct_v. t._ To draw over; to cover.
Obduction_n._ The act of drawing or laying over, as a covering.
Obduracy_n._ The duality or state of being obdurate; invincible hardness of heart; obstinacy.
Obdurate_a._ Hardened in feelings, esp. against moral or mollifying influences; unyielding; hard-hearted; stubbornly wicked._ Hard; harsh; rugged; rough; intractable.
Obdurate_v. t._ To harden.
Obduration_n._ A hardening of the heart; hardness of heart.
Obdure_v. t._ To harden.
Obdure_a._ Alt. of Obdured
Obdured_a._ Obdurate; hard.
Obdureness_n._ Alt. of Obduredness
Obduredness_n._ Hardness.
Obbe_n._ See Obi.
Obeah_n._ Same as Obi.
Obeah_a._ Of or pertaining to obi; as, the obeah man.
Obedible_a._ Obedient.
Obedience_n._ The act of obeying, or the state of being obedient; compliance with that which is required by authority; subjection to rightful restraint or control._ Words or actions denoting submission to authority; dutifulness._ A following; a body of adherents; as, the Roman Catholic obedience, or the whole body of persons who submit to the authority of the pope._ A cell (or offshoot of a larger monastery) governed by a prior._ One of the three monastic vows._ The written precept of a superior in a religious order or congregation to a subject.
Obedienciary_n._ One yielding obedience.
Obedient_a._ Subject in will or act to authority; willing to obey; submissive to restraint, control, or command.
Obediential_a._ According to the rule of obedience.
Obediently_adv._ In an obedient manner; with obedience.
Obeisance_n._ Obedience._ A manifestation of obedience; an expression of difference or respect; homage; a bow; a courtesy.
Obeisancy_n._ See Obeisance.
Obeisant_a._ Ready to obey; reverent; differential; also, servilely submissive.
Obelion_n._ The region of the skull between the two parietal foramina where the closure of the sagittal suture usually begins.
Obeliscal_a._ Formed like an obelisk.
