Fa_n._ A syllable applied to the fourth tone of the diatonic scale in solmization.
Fa_n._ The tone F.
Fabaceous_a._ Having the nature of a bean; like a bean.
Fabellae_pl. _ of Fabella
Fabella_n._ One of the small sesamoid bones situated behind the condyles of the femur, in some mammals.
Fabian_a._ Of, pertaining to, or in the manner of, the Roman general, Quintus Fabius Maximus Verrucosus; cautious; dilatory; avoiding a decisive contest.
Fable_n._ A Feigned story or tale, intended to instruct or amuse; a fictitious narration intended to enforce some useful truth or precept; an apologue. See the Note under Apologue._ The plot, story, or connected series of events, forming the subject of an epic or dramatic poem._ Any story told to excite wonder; common talk; the theme of talk._ Fiction; untruth; falsehood.
Fabled_imp. & p. p._ of Fable
Fabling_p. pr. & vb. n._ of Fable
Fable_v. i._ To compose fables; hence, to write or speak fiction ; to write or utter what is not true.
Fable_v. t._ To feign; to invent; to devise, and speak of, as true or real; to tell of falsely.
Fabler_n._ A writer of fables; a fabulist; a dealer in untruths or falsehoods.
Fabliaux_pl. _ of Fabliau
Fabliau_n._ One of the metrical tales of the Trouveres, or early poets of the north of France.
Fabric_n._ The structure of anything; the manner in which the parts of a thing are united; workmanship; texture; make; as cloth of a beautiful fabric._ That which is fabricated_ Framework; structure; edifice; building._ Cloth of any kind that is woven or knit from fibers, either vegetable or animal; manufactured cloth; as, silks or other fabrics._ The act of constructing; construction._ Any system or structure consisting of connected parts; as, the fabric of the universe.
Fabricked_imp. & p. p._ of Fabric
Fabricking_p. pr. & vb. n._ of Fabric
Fabric_v. t._ To frame; to build; to construct.
Fabricant_n._ One who fabricates; a manufacturer.
Fabricated_imp. & p. p._ of Fabricate
Fabricating_p. pr. & vb. n._ of Fabricate
Fabricate_v. t._ To form into a whole by uniting its parts; to frame; to construct; to build; as, to fabricate a bridge or ship._ To form by art and labor; to manufacture; to produce; as, to fabricate woolens._ To invent and form; to forge; to devise falsely; as, to fabricate a lie or story.
Fabrication_n._ The act of fabricating, framing, or constructing; construction; manufacture; as, the fabrication of a bridge, a church, or a government._ That which is fabricated; a falsehood; as, the story is doubtless a fabrication.
Fabricator_n._ One who fabricates; one who constructs or makes.
Fabricatress_n._ A woman who fabricates.
Fabrile_a._ Pertaining to a workman, or to work in stone, metal, wood etc.; as, fabrile skill.
Fabulist_n._ One who invents or writes fables.
Fabulized_imp. & p. p._ of Fabulize
Fabulizing_p. pr. & vb. n._ of Fabulize
Fabulize_v. i._ To invent, compose, or relate fables or fictions.
Fabulosity_n._ Fabulousness._ A fabulous or fictitious story.
