Ma_n._ A child's word for mother.
Ma_n._ In Oriental countries, a respectful form of address given to a woman; mother.
Ma_conj._" But; -- used in cautionary phrases; as, ""Vivace, ma non troppo presto"" (i. e., lively, but not too quick)."
Maa_n._ The common European gull (Larus canus); -- called also mar. See New, a gull.
Maad_p. p._ Made.
Maalin_n._ The sparrow hawk._ The kestrel.
Ma'am_n._ Madam; my lady; -- a colloquial contraction of madam often used in direct address, and sometimes as an appellation.
Maara shell__ A large, pearly, spiral, marine shell (Turbo margaritaceus), from the Pacific Islands. It is used as an ornament.
Maasha_n._ An East Indian coin, of about one tenth of the weight of a rupee.
Maat_a._ Dejected; sorrowful; downcast.
Mad_n._ A slattern._ The name of a female fairy, esp. the queen of the fairies; and hence, sometimes, any fairy.
Mabble_v. t._ To wrap up.
Mabby_n._ A spirituous liquor or drink distilled from potatoes; -- used in the Barbadoes.
Mabolo_n._ A kind of persimmon tree (Diospyros discolor) from the Philippine Islands, now introduced into the East and West Indies. It bears an edible fruit as large as a quince.
Mac__ A prefix, in names of Scotch origin, signifying son.
Macaco_n._ Any one of several species of lemurs, as the ruffed lemur (Lemur macaco), and the ring-tailed lemur (L. catta).
Macacus_n._ A genus of monkeys, found in Asia and the East Indies. They have short tails and prominent eyebrows.
Macadamization_n._ The process or act of macadamizing.
Macadamized_imp. & p. p._ of Macadamize
Macadamizing_p. pr. & vb. n._ of Macadamize
Macadamize_v. t._ To cover, as a road, or street, with small, broken stones, so as to form a smooth, hard, convex surface.
Maoadam road__ A macadamized road.
Macao_n._ A macaw.
Macaque_n._ Any one of several species of short-tailed monkeys of the genus Macacus; as, M. maurus, the moor macaque of the East Indies.
Macaranga gum__ A gum of a crimson color, obtained from a tree (Macaranga Indica) that grows in the East Indies. It is used in taking impressions of coins, medallions, etc., and sometimes as a medicine.
Macarize_v. t._ To congratulate.
Macaronis_pl. _ of Macaroni
Macaronies_pl. _ of Macaroni
Macaroni_n._ Long slender tubes made of a paste chiefly of wheat flour, and used as an article of food; Italian or Genoese paste._ A medley; something droll or extravagant._ A sort of droll or fool._ A finical person; a fop; -- applied especially to English fops of about 1775._ The designation of a body of Maryland soldiers in the Revolutionary War, distinguished by a rich uniform.
Macaronian_a._ Alt. of Macaronic
Macaronic_a._ Pertaining to, or like, macaroni (originally a dish of mixed food); hence, mixed; confused; jumbled._ Of or pertaining to the burlesque composition called macaronic; as, macaronic poetry.
Macaronic_n._ A heap of thing confusedly mixed together; a jumble._ A kind of burlesque composition, in which the vernacular words of one or more modern languages are intermixed with genuine Latin words, and with hybrid formed by adding Latin terminations to other roots.
Macaroon_n._ A small cake, composed chiefly of the white of eggs, almonds, and sugar._ A finical fellow, or macaroni.
Macartney_n._ A fire-backed pheasant. See Fireback.
Macassar oil__ A kind of oil formerly used in dressing the hair; -- so called because originally obtained from Macassar, a district of the Island of Celebes. Also, an imitation of the same, of perfumed castor oil and olive oil.
Macauco_n._ Any one of several species of small lemurs, as Lemur murinus, which resembles a rat in size.
Macavahu_n._ A small Brazilian monkey (Callithrix torquatus), -- called also collared teetee.
Macaw_n._ Any parrot of the genus Sittace, or Macrocercus. About eighteen species are known, all of them American. They are large and have a very long tail, a strong hooked bill, and a naked space around the eyes. The voice is harsh, and the colors are brilliant and strongly contrasted.
Maccabean_a._ Of or pertaining to Judas Maccabeus or to the Maccabees; as, the Maccabean princes; Maccabean times.
Maccabees_n. pl._ The name given later times to the Asmonaeans, a family of Jewish patriots, who headed a religious revolt in the reign of Antiochus IV., 168-161 B. C., which led to a period of freedom for Israel._ The name of two ancient historical books, which give accounts of Jewish affairs in or about the time of the Maccabean princes, and which are received as canonical books in the Roman Catholic Church, but are included in the Apocrypha by Protestants. Also applied to three books, two of which are found in some MSS. of the Septuagint.
Maccaboy_n._ Alt. of Maccoboy
Maccoboy_n._ A kind of snuff.
Macco_n._ A gambling game in vogue in the eighteenth century.
