Jaal goat__ A species of wild goat (Capra Nubiana) found in the mountains of Abyssinia, Upper Egypt, and Arabia; -- called also beden, and jaela.
Jab_v. t._ To thrust; to stab; to punch. See Job, v. t.
Jab_n._ A thrust or stab.
Jabbered_imp. & p. p._ of Jabber
Jabbering_p. pr. & vb. n._ of Jabber
Jabber_v. i._ To talk rapidly, indistinctly, or unintelligibly; to utter gibberish or nonsense; to chatter.
Jabber_v. t._ To utter rapidly or indistinctly; to gabble; as, to jabber French.
Jabber_n._ Rapid or incoherent talk, with indistinct utterance; gibberish._ One who jabbers.
Jabberingly_adv._ In a jabbering manner.
Jabberment_n._ Jabber.
Jabbernowl_n._ Same as Jobbernowl.
Jabiru_n._ One of several large wading birds of the genera Mycteria and Xenorhynchus, allied to the storks in form and habits.
Jaborandi_n._ The native name of a South American rutaceous shrub (Pilocarpus pennatifolius). The leaves are used in medicine as an diaphoretic and sialogogue.
Jaborine_n._ An alkaloid found in jaborandi leaves, from which it is extracted as a white amorphous substance. In its action it resembles atropine.
Jabot_n._ Originally, a kind of ruffle worn by men on the bosom of the shirt._ An arrangement of lace or tulle, looped ornamentally, and worn by women on the front of the dress.
Jacamar_n._ Any one of numerous species of tropical American birds of the genus Galbula and allied genera. They are allied to the kingfishers, but climb on tree trunks like nuthatches, and feed upon insects. Their colors are often brilliant.
Jacana_n._ Any of several wading birds belonging to the genus Jacana and several allied genera, all of which have spurs on the wings. They are able to run about over floating water weeds by means of their very long, spreading toes. Called also surgeon bird.
Jacaranda_n._ The native Brazilian name for certain leguminous trees, which produce the beautiful woods called king wood, tiger wood, and violet wood._ A genus of bignoniaceous Brazilian trees with showy trumpet-shaped flowers.
Jacare_n._ A cayman. See Yacare.
Jacchus_n._ The common marmoset (Hapale vulgaris). Formerly, the name was also applied to other species of the same genus.
Jacconet_n._ See Jaconet.
Jacent_a._ Lying at length; as, the jacent posture.
Jacinth_n._ See Hyacinth.
Jack_n._ A large tree, the Artocarpus integrifolia, common in the East Indies, closely allied to the breadfruit, from which it differs in having its leaves entire. The fruit is of great size, weighing from thirty to forty pounds, and through its soft fibrous matter are scattered the seeds, which are roasted and eaten. The wood is of a yellow color, fine grain, and rather heavy, and is much used in cabinetwork. It is also used for dyeing a brilliant yellow._ A familiar nickname of, or substitute for, John._ An impertinent or silly fellow; a simpleton; a boor; a clown; also, a servant; a rustic._ A popular colloquial name for a sailor; -- called also Jack tar, and Jack afloat._ A mechanical contrivance, an auxiliary machine, or a subordinate part of a machine, rendering convenient service, and often supplying the place of a boy or attendant who was commonly called Jack_ A device to pull off boots._ A sawhorse or sawbuck._ A machine or contrivance for turning a spit; a smoke jack, or kitchen jack._ A wooden wedge for separating rocks rent by blasting._ A lever for depressing the sinkers which push the loops down on the needles._ A grating to separate and guide the threads; a heck box._ A machine for twisting the sliver as it leaves the carding machine._ A compact, portable machine for planing metal._ A machine for slicking or pebbling leather._ A system of gearing driven by a horse power, for multiplying speed._ A hood or other device placed over a chimney or vent pipe, to prevent a back draught._ In the harpsichord, an intermediate piece communicating the action of the key to the quill; -- called also hopper._ In hunting, the pan or frame holding the fuel of the torch used to attract game at night; also, the light itself._ A portable machine variously constructed, for exerting great pressure, or lifting or moving a heavy body through a small distance. It consists of a lever, screw, rack and pinion, hydraulic press, or any simple combination of mechanical powers, working in a compact pedestal or support and operated by a lever, crank, capstan bar, etc. The name is often given to a jackscrew, which is a kind of jack._ The small bowl used as a mark in the game of bowls._ The male of certain animals, as of the ass._ A young pike; a pickerel._ The jurel._ A large, California rock fish (Sebastodes paucispinus); -- called also boccaccio, and merou._ The wall-eyed pike._ A drinking measure holding half a pint; also, one holding a quarter of a pint._ A flag, containing only the union, without the fly, usually hoisted on a jack staff at the bowsprit cap; -- called also union jack. The American jack is a small blue flag, with a star for each State._ A bar of iron athwart ships at a topgallant masthead, to support a royal mast, and give spread to the royal shrouds; -- called also jack crosstree._ The knave of a suit of playing cards._ A coarse and cheap mediaeval coat of defense, esp. one made of leather._ A pitcher or can of waxed leather; -- called also black jack.
Jack_v. i._ To hunt game at night by means of a jack. See 2d Jack, n., 4, n.
Jack_v. t._ To move or lift, as a house, by means of a jack or jacks. See 2d Jack, n., 5.
Jack-a-dandy_n._ A little dandy; a little, foppish, impertinent fellow.
Jackal_n._ Any one of several species of carnivorous animals inhabiting Africa and Asia, related to the dog and wolf. They are cowardly, nocturnal, and gregarious. They feed largely on carrion, and are noted for their piercing and dismal howling._ One who does mean work for another's advantage, as jackals were once thought to kill game which lions appropriated.
Jack-a-lent_n._ A small stuffed puppet to be pelted in Lent; hence, a simple fellow.
