Ba_v. i._ To kiss.
Baa_v. i._ To cry baa, or bleat as a sheep.
Baas_pl. _ of Baa
Baa_n._ The cry or bleating of a sheep; a bleat.
Baaing_n._ The bleating of a sheep.
Baalim_pl. _ of Baal
Baal_n._ The supreme male divinity of the Phoenician and Canaanitish nations._ The whole class of divinities to whom the name Baal was applied.
Baalism_n._ Worship of Baal; idolatry.
Baalist_n._ Alt. of Baalite
Baalite_n._ A worshiper of Baal; a devotee of any false religion; an idolater.
Baba_n._ A kind of plum cake.
Babbitt_v. t._ To line with Babbitt metal.
Babbitt metal__ A soft white alloy of variable composition (as a nine parts of tin to one of copper, or of fifty parts of tin to five of antimony and one of copper) used in bearings to diminish friction.
Babbled_imp. & p. p._ of Babble
Babbling_p. pr. & vb. n._ of Babble
Babble_v. i._ To utter words indistinctly or unintelligibly; to utter inarticulate sounds; as a child babbles._ To talk incoherently; to utter unmeaning words._ To talk much; to chatter; to prate._ To make a continuous murmuring noise, as shallow water running over stones._ To utter in an indistinct or incoherent way; to repeat, as words, in a childish way without understanding._ To disclose by too free talk, as a secret.
Babble_n._ Idle talk; senseless prattle; gabble; twaddle._ Inarticulate speech; constant or confused murmur.
Babblement_n._ Babble.
Babbler_n._ An idle talker; an irrational prater; a teller of secrets._ A hound too noisy on finding a good scent._ A name given to any one of family (Timalinae) of thrushlike birds, having a chattering note.
Babblery_n._ Babble.
Babe_n._ An infant; a young child of either sex; a baby._ A doll for children.
Babehood_n._ Babyhood.
Babel_n._ The city and tower in the land of Shinar, where the confusion of languages took place._ Hence: A place or scene of noise and confusion; a confused mixture of sounds, as of voices or languages.
Babery_n._ Finery of a kind to please a child.
Babian_n._ Alt. of Babion
Babion_n._ A baboon.
Babillard_n._ The lesser whitethroat of Europe; -- called also babbling warbler.
Babingtonite_n._ A mineral occurring in triclinic crystals approaching pyroxene in angle, and of a greenish black color.  It is a silicate of iron, manganese, and lime.
Babiroussa_n._ Alt. of Babirussa
Babirussa_n._ A large hoglike quadruped (Sus, / Porcus, babirussa) of the East Indies, sometimes domesticated; the Indian hog. Its upper canine teeth or tusks are large and recurved.
Babish_a._ Like a babe; a childish; babyish.
Babism_n._ The doctrine of a modern religious sect, which originated in Persia in 1843, being a mixture of Mohammedan, Christian, Jewish and Parsee elements.
Babist_n._ A believer in Babism.
