Dab_n._ A skillful hand; a dabster; an expert.
Dab_n._ A name given to several species of flounders, esp. to the European species, Pleuronectes limanda. The American rough dab is Hippoglossoides platessoides.
Dabbed_imp. & p. p._ of Dab
Dabbing_p. pr. & vb. n._ of Dab
Dab_v. i._ To strike or touch gently, as with a soft or moist substance; to tap; hence, to besmear with a dabber._ To strike by a thrust; to hit with a sudden blow or thrust.
Dab_n._ A gentle blow with the hand or some soft substance; a sudden blow or hit; a peck._ A small mass of anything soft or moist.
Dabb_n._ A large, spine-tailed lizard (Uromastix spinipes), found in Egypt, Arabia, and Palestine; -- called also dhobb, and dhabb.
Dabber_n._ That with which one dabs; hence, a pad or other device used by printers, engravers, etc., as for dabbing type or engraved plates with ink.
Dabbled_imp. & p. p._ of Dabble
Dabbling_p. pr. & vb. n._ of Dabble
Dabble_v. t._ To wet by little dips or strokes; to spatter; to sprinkle; to moisten; to wet.
Dabble_v. i._ To play in water, as with the hands; to paddle or splash in mud or water._ To work in slight or superficial manner; to do in a small way; to tamper; to meddle.
Dabbler_n._ One who dabbles._ One who dips slightly into anything; a superficial meddler.
Dabblingly_adv._ In a dabbling manner.
Dabchick_n._ A small water bird (Podilymbus podiceps), allied to the grebes, remarkable for its quickness in diving; -- called also dapchick, dobchick, dipchick, didapper, dobber, devil-diver, hell-diver, and pied-billed grebe.
Daboia_n._ A large and highly venomous Asiatic viper (Daboia xanthica).
Dabster_n._ One who is skilled; a master of his business; a proficient; an adept.
Dacapo__ From the beginning; a direction to return to, and end with, the first strain; -- indicated by the letters D. C. Also, the strain so repeated.
Dace_n._ A small European cyprinoid fish (Squalius leuciscus or Leuciscus vulgaris); -- called also dare.
Dachshund_n._ One of a breed of small dogs with short crooked legs, and long body; -- called also badger dog. There are two kinds, the rough-haired and the smooth-haired.
Dacian_a._ Of or pertaining to Dacia or the Dacians.
Dacian_n._ A native of ancient Dacia.
Dacoit_n._ One of a class of robbers, in India, who act in gangs.
Dacoity_n._ The practice of gang robbery in India; robbery committed by dacoits.
Dacotahs_n. pl._ Same as Dacotas.
Dactyl_n._ A poetical foot of three sylables (-- ~ ~), one long followed by two short, or one accented followed by two unaccented; as, L. tegm/n/, E. mer\b6ciful; -- so called from the similarity of its arrangement to that of the joints of a finger._ A finger or toe; a digit._ The claw or terminal joint of a leg of an insect or crustacean.
Dactylar_a._ Pertaining to dactyl; dactylic._ Of or pertaining to a finger or toe, or to the claw of an insect crustacean.
Dactylet_n._ A dactyl.
Dactylic_a._ Pertaining to, consisting chiefly or wholly of, dactyls; as, dactylic verses.
Dactylic_n._ A line consisting chiefly or wholly of dactyls; as, these lines are dactylics._ Dactylic meters.
Dactylioglyph_n._ An engraver of gems for rings and other ornaments._ The inscription of the engraver's name on a finger ring or gem.
Dactylioglyphi_n._ The art or process of gem engraving.
Dactyliography_n._ The art of writing or engraving upon gems._ In general, the literature or history of the art.
Dactyliology_n._ That branch of archaeology which has to do with gem engraving._ That branch of archaeology which has to do with finger rings.
Dactyliomancy_n._ Divination by means of finger rings.
Dactylist_n._ A writer of dactylic verse.
Dactylitis_n._ An inflammatory affection of the fingers.
Dactylology_n._ The art of communicating ideas by certain movements and positions of the fingers; -- a method of conversing practiced by the deaf and dumb.
Dactylomancy_n._ Dactyliomancy.
Dactylonomy_n._ The art of numbering or counting by the fingers.
Dactylopterous_a._ Having the inferior rays of the pectoral fins partially or entirely free, as in the gurnards.
Dactylotheca_n._ The scaly covering of the toes, as in birds.
Dactylozooid_n._ A kind of zooid of Siphonophora which has an elongated or even vermiform body, with one tentacle, but no mouth. See Siphonophora.
Dad_n._ Father; -- a word sometimes used by children.
Daddled_imp. & p. p._ of Dadle
Daddling_p. pr. & vb. n._ of Dadle
Dadle_v. i._ To toddle; to walk unsteadily, like a child or an old man; hence, to do anything slowly or feebly.
Daddock_n._ The rotten body of a tree.
Daddy_n._ Diminutive of Dad.
Daddy longlegs__ An arachnidan of the genus Phalangium, and allied genera, having a small body and four pairs of long legs; -- called also harvestman, carter, and grandfather longlegs._ A name applied to many species of dipterous insects of the genus Tipula, and allied genera, with slender bodies, and very long, slender legs; the crane fly; -- called also father longlegs.
Dade_v. t._ To hold up by leading strings or by the hand, as a child while he toddles.
Dade_v. i._ To walk unsteadily, as a child in leading strings, or just learning to walk; to move slowly.
Dadoes_pl. _ of Dado
Dado_n._ That part of a pedestal included between the base and the cornice (or surbase); the die. See Illust. of Column._ In any wall, that part of the basement included between the base and the base course.  See Base course, under Base._ In interior decoration, the lower part of the wall of an apartment when adorned with moldings, or otherwise specially decorated.
Daedal_a._ Alt. of Daedalian
Daedalian_a._ Cunningly or ingeniously formed or working; skillful; artistic; ingenious._ Crafty; deceitful.
Daedalous_a._ Having a variously cut or incised margin; -- said of leaves.
Daemon_a._ Alt. of Daemonic
Daemonic_a._ See Demon, Demonic.
Daff_v. t._ To cast aside; to put off; to doff.
Daff_n._ A stupid, blockish fellow; a numskull.
Daff_v. i._ To act foolishly; to be foolish or sportive; to toy.
Daff_v. t._ To daunt.
Daffodil_n._ A plant of the genus Asphodelus._ A plant of the genus Narcissus (N. Pseudo-narcissus). It has a bulbous root and beautiful flowers, usually of a yellow hue. Called also daffodilly, daffadilly, daffadowndilly, daffydowndilly, etc.
Daft_a._ Stupid; foolish; idiotic; also, delirious; insane; as, he has gone daft._ Gay; playful; frolicsome.
Daftness_n._ The quality of being daft.
