Uakari_n._ Same as Ouakari.
Uberous_a._ Fruitful; copious; abundant; plentiful.
Uberty_n._ Fruitfulness; copiousness; abundance; plenty.
Ubication_n._ Alt. of Ubiety
Ubiety_n._ The quality or state of being in a place; local relation; position or location; whereness.
Ubiquarian_a._ Ubiquitous.
Ubiquitist_n._ Alt. of Ubiquitarian
Ubiquitarian_n._ One of a school of Lutheran divines which held that the body of Christ is present everywhere, and especially in the eucharist, in virtue of his omnipresence. Called also ubiquitist, and ubiquitary.
Ubiquitariness_n._ Quality or state of being ubiquitary, or ubiquitous.
Ubiquitary_a._ Ubiquitous.
Ubiquitaries_pl. _ of Ubiquitary
Ubiquitary_n._ One who exists everywhere._ A ubiquist.
Ubiquitist_n._ Same as Ubiquist.
Ubiquitous_a._ Existing or being everywhere, or in all places, at the same time; omnipresent.
Ubiquity_n._ Existence everywhere, or in places, at the same time; omnipresence; as, the ubiquity of God is not disputed by those who admit his existence._ The doctrine, as formulated by Luther, that Christ's glorified body is omnipresent.
Uchees_n. pl._ A tribe of North American Indians belonging to the Creek confederation.
Uckewallist_n._ One of a sect of rigid Anabaptists, which originated in 1637, and whose tenets were essentially the same as those of the Mennonists. In addition, however, they held that Judas and the murderers of Christ were saved. So called from the founder of the sect, Ucke Wallis, a native of Friesland.
Udal_n._ In Shetland and Orkney, a freehold; property held by udal, or allodial, right.
Udal_a._ Allodial; -- a term used in Finland, Shetland, and Orkney. See Allodial.
Udaler_n._ Alt. of Udalman
Udalman_n._ In the Shetland and Orkney Islands, one who holds property by udal, or allodial, right.
Udder_n._ The glandular organ in which milk is secreted and stored; -- popularly called the bag in cows and other quadrupeds. See Mamma._ One of the breasts of a woman.
Uddered_a._ Having an udder or udders.
Udderless_a._ Destitute or deprived of an udder._ Hence, without mother's milk; motherless; as, udderless lambs.
Udometer_n._ A rain gauge.
Ugh_interj._ An exclamation expressive of disgust, horror, or recoil. Its utterance is usually accompanied by a shudder.
Uglesome_a._ Ugly.
Uglify_v. t._ To disfigure; to make ugly.
Uglily_adv._ In an ugly manner; with deformity.
Ugliness_n._ The quality or state of being ugly.
Ugly_superl._ Offensive to the sight; contrary to beauty; being of disagreeable or loathsome aspect; unsightly; repulsive; deformed._ Ill-natured; crossgrained; quarrelsome; as, an ugly temper; to feel ugly._ Unpleasant; disagreeable; likely to cause trouble or loss; as, an ugly rumor; an ugly customer.
Ugly_n._ A shade for the face, projecting from the bonnet.
Ugly_v. t._ To make ugly.
Ugrian_n. pl._ A Mongolian race, ancestors of the Finns.
Ugsome_a._ Ugly; offensive; loathsome.
Uhlan_n._ One of a certain description of militia among the Tartars._ One of a kind of light cavalry of Tartaric origin, first introduced into European armies in Poland.  They are armed with lances, pistols, and sabers, and are employed chiefly as skirmishers.
Uintatherium_n._ An extinct genus of large Eocene ungulates allied to Dinoceras. This name is sometimes used for nearly all the known species of the group. See Dinoceras.
Ukase_n._ In Russia, a published proclamation or imperial order, having the force of law.
Ulan_n._ See Uhlan.
Ularburong_n._ A large East Indian nocturnal tree snake (Dipsas dendrophila). It is not venomous.
Ulcer_n._ A solution of continuity in any of the soft parts of the body, discharging purulent matter, found on a surface, especially one of the natural surfaces of the body, and originating generally in a constitutional disorder; a sore discharging pus. It is distinguished from an abscess, which has its beginning, at least, in the depth of the tissues._ Fig.: Anything that festers and corrupts like an open sore; a vice in character.
Ulcer_v. t._ To ulcerate.
Ulcerable_a._ Capable of ulcerating.
Ulcerated_imp. & p. p._ of Ulcerate
Ulcerating_p. pr. & vb. n._ of Ulcerate
Ulcerate_v. i._ To be formed into an ulcer; to become ulcerous.
Ulcerate_v. t._ To affect with, or as with, an ulcer or ulcers.
Ulcerated_a._ Affected with, or as with, an ulcer or ulcers; as, an ulcerated sore throat.
Ulceration_n._ The process of forming an ulcer, or of becoming ulcerous; the state of being ulcerated; also, an ulcer.
Ulcerative_a._ Of or pertaining to ulcers; as, an ulcerative process.
Ulcered_a._ Ulcerous; ulcerated.
Ulcerous_a._ Having the nature or character of an ulcer; discharging purulent or other matter._ Affected with an ulcer or ulcers; ulcerated.
Ulcuscle_n._ Alt. of Ulcuscule
Ulcuscule_n._ A little ulcer.
Ule_n._ A Mexican and Central American tree (Castilloa elastica and C. Markhamiana) related to the breadfruit tree. Its milky juice contains caoutchouc. Called also ule tree.
Ulema_n._ A college or corporation in Turkey composed of the hierarchy, namely, the imams, or ministers of religion, the muftis, or doctors of law, and the cadis, or administrators of justice.
Ulexite_n._ A mineral occurring in white rounded crystalline masses. It is a hydrous borate of lime and soda.
Uliginose_a._ Alt. of Uliginous
Uliginous_a._ Muddy; oozy; slimy; also, growing in muddy places.
Ullage_n._ The amount which a vessel, as a cask, of liquor lacks of being full; wantage; deficiency.
Ullet_n._ A European owl (Syrnium aluco) of a tawny color; -- called also uluia.
Ullmannite_n._ A brittle mineral of a steel-gray color and metallic luster, containing antimony, arsenic, sulphur, and nickel.
Ulluco_n._ See Melluc/o.
Ulmaceous_a._ Of or pertaining to a suborder of urticaceous plants, of which the elm is the type.
Ulmate_n._ A salt of ulmic acid.
Ulmic_a._ Pertaining to ulmin; designating an acid obtained from ulmin.
Ulmin_n._ A brown amorphous substance found in decaying vegetation.  Cf. Humin.
Ulmus_n._ A genus of trees including the elm.
Ulna_n._ The postaxial bone of the forearm, or branchium, corresponding to the fibula of the hind limb. See Radius._ An ell; also, a yard.
Ulnage_n._ Measurement by the ell; alnage.
Ulnar_a._ Of or pertaining to the ulna, or the elbow; as, the ulnar nerve.
Ulnaria_pl. _ of Ulnare
Ulnare_n._ One of the bones or cartilages of the carpus, which articulates with the ulna and corresponds to the cuneiform in man.
Ulodendron_n._ A genus of fossil trees.
Ulonata_n. pl._ A division of insects nearly equivalent to the true Orthoptera.
Ulotrichan_a._ Of or pertaining to the Ulotrichi.
Ulotrichan_n._ One of the Ulotrichi.
Ulotrichi_n. pl._ The division of mankind which embraces the races having woolly or crispy hair.  Cf. Leiotrichi.
Ulotrichous_a._ Having woolly or crispy hair; -- opposed to leiotrichous.
Ulster_n._ A long, loose overcoat, worn by men and women, originally made of frieze from Ulster, Ireland.
Ulterior_a._ Situated beyond, or on the farther side; thither; -- correlative with hither._ Further; remoter; more distant; succeeding; as, ulterior demands or propositions; ulterior views; what ulterior measures will be adopted is uncertain.
Ulterior_n._ Ulterior side or part.
Ulteriorly_adv._ More distantly or remotely.
Ultima_a._ Most remote; furthest; final; last.
Ultima_n._ The last syllable of a word.
Ultimate_a._ Farthest; most remote in space or time; extreme; last; final._ Last in a train of progression or consequences; tended toward by all that precedes; arrived at, as the last result; final._ Incapable of further analysis; incapable of further division or separation; constituent; elemental; as, an ultimate constituent of matter.
Ultimated_imp. & p. p._ of Ultimate
Ultimating_p. pr. & vb. n._ of Ultimate
Ultimate_v. t. & i._ To come or bring to an end; to eventuate; to end._ To come or bring into use or practice.
Ultimately_adv._ As a final consequence; at last; in the end; as, afflictions often tend to correct immoral habits, and ultimately prove blessings.
Ultimation_n._ State of being ultimate; that which is ultimate, or final; ultimatum.
Ultimatums_pl. _ of Ultimatum
Ultimata_pl. _ of Ultimatum
Ultimatum_n._ A final proposition, concession, or condition; especially, the final propositions, conditions, or terms, offered by either of the parties in a diplomatic negotiation; the most favorable terms a negotiator can offer, the rejection of which usually puts an end to the hesitation.
Ultime_a._ Ultimate; final.
Ultimity_n._ The last stage or consequence; finality.
Ultimo__ In the month immediately preceding the present; as, on the 1st ultimo; -- usually abbreviated to ult.  Cf. Proximo.
Ultion_n._ The act of taking vengeance; revenge.
Ultra-_a._ A prefix from the Latin ultra beyond (see Ulterior), having in composition the signification beyond, on the other side, chiefly when joined with words expressing relations of place; as, ultramarine, ultramontane, ultramundane, ultratropical, etc. In other relations it has the sense of excessively, exceedingly, beyond what is common, natural, right, or proper; as, ultraconservative; ultrademocratic, ultradespotic, ultraliberal, ultraradical, etc.
Ultra_a._ Going beyond others, or beyond due limit; extreme; fanatical; uncompromising; as, an ultra reformer; ultra measures.
Ultra_n._ One who advocates extreme measures; an ultraist; an extremist; a radical.
Ultrage_n._ Outrage.
Ultraism_n._ The principles of those who advocate extreme measures, as radical reform, and the like.
Ultraist_n._ One who pushes a principle or measure to extremes; an extremist; a radical; an ultra.
Ultramarine_a._ Situated or being beyond the sea.
Ultramarine_n._ A blue pigment formerly obtained by powdering lapis lazuli, but now produced in large quantities by fusing together silica, alumina, soda, and sulphur, thus forming a glass, colored blue by the sodium polysulphides made in the fusion. Also used adjectively.
Ultramontane__ Being beyond the mountains; specifically, being beyond the Alps, in respect to the one who speaks.
Ultramontane_n._ One who resides beyond the mountains, especially beyond the Alps; a foreigner._ One who maintains extreme views favoring the pope's supremacy. See Ultramontanism.
Ultramontanism_n._ The principles of those within the Roman Catholic Church who maintain extreme views favoring the pope's supremacy; -- so used by those living north of the Alps in reference to the Italians; -- rarely used in an opposite sense, as referring to the views of those living north of the Alps and opposed to the papal claims.  Cf. Gallicanism.
Ultramontanist_n._ One who upholds ultramontanism.
Ultramundane_a._ Being beyond the world, or beyond the limits of our system.
Ultrared_a._ Situated beyond or below the red rays; as, the ultrated rays of the spectrum, which are less refrangible than the red.
Ultratropical_a._ Situated beyond, or outside of, the tropics; extratropical; also, having an excessively tropical temperature; warmer than the tropics.
Ultraviolet_a._ Lying outside the visible spectrum at its violet end; -- said of rays more refrangible than the extreme violet rays of the spectrum.
Ultra vires__ Beyond power; transcending authority; -- a phrase used frequently in relation to acts or enactments by corporations in excess of their chartered or statutory rights.
Ultrazodiacal_a._ Outside the zodiac; being in that part of the heavens that is more than eight degrees from the ecliptic; as, ultrazodiacal planets, that is, those planets which in part of their orbits go beyond the zodiac.
Ultroneous_a._ Spontaneous; voluntary.
Ulula_n._ A genus of owls including the great gray owl (Ulula cinerea) of Arctic America, and other similar species. See Illust. of Owl.
Ululant_a._ Howling; wailing.
Ululated_imp. & p. p._ of Ululate
Ululating_p. pr. & vb. n._ of Ululate
Ululate_v. i._ To howl, as a dog or a wolf; to wail; as, ululating jackals.
Ululation_n._ A howling, as of a dog or wolf; a wailing.
Ulva_n._ A genus of thin papery bright green seaweeds including the kinds called sea lettuce.
Umbe_prep._ About.
Umbecast_v. i._ To cast about; to consider; to ponder.
Umbel_n._ A kind of flower cluster in which the flower stalks radiate from a common point, as in the carrot and milkweed. It is simple or compound; in the latter case, each peduncle bears another little umbel, called umbellet, or umbellule.
Umbellar_a._ Of or pertaining to an umbel; having the form of an umbel.
Umbellate_a._ Alt. of Umbellated
Umbellated_a._ Bearing umbels; pertaining to an umbel; umbel-like; as, umbellate plants or flowers.
Umbellet_n._ A small or partial umbel; an umbellule.
Umbellic_a._ Pertaining to, or obtained from, certain umbelliferous plants; as, umbellic acid.
Umbellifer_n._ A plant producing an umbel or umbels.
Umbelliferone_n._ A tasteless white crystalline substance, C9H6O3, found in the bark of a certain plant (Daphne Mezereum), and also obtained by the distillation of certain gums from the Umbelliferae, as galbanum, asafetida, etc. It is analogous to coumarin. Called also hydroxy-coumarin.
Umbelliferous_a._ Producing umbels._ Of or pertaining to a natural order (Umbelliferae) of plants, of which the parsley, carrot, parsnip, and fennel are well-known examples.
Umbellularia_n._ A genus of deep-sea alcyonaria consisting of a cluster of large flowerlike polyps situated at the summit of a long, slender stem which stands upright in the mud, supported by a bulbous base.
Umbellule_n._ An umbellet.
Umber_n._ A brown or reddish pigment used in both oil and water colors, obtained from certain natural clays variously colored by the oxides of iron and manganese. It is commonly heated or burned before being used, and is then called burnt umber; when not heated, it is called raw umber. See Burnt umber, below._ An umbrere._ See Grayling, 1._ An African wading bird (Scopus umbretta) allied to the storks and herons. It is dull dusky brown, and has a large occipital crest. Called also umbrette, umbre, and umber bird.
Umber_a._ Of or pertaining to umber; resembling umber; olive-brown; dark brown; dark; dusky.
Umber_v. t._ To color with umber; to shade or darken; as, to umber over one's face.
Umbery_a._ Of or pertaining to umber; like umber; as, umbery gold.
Umbilic_n._ The navel; the center._ An umbilicus. See Umbilicus, 5 (b).
Umbilic_a._ See Umbilical, 1.
Umbilical_n._ Of or pertaining to an umbilicus, or umbilical cord; umbilic._ Pertaining to the center; central.
Umbilicate_a._ Alt. of Umbilicated
Umbilicated_a._ Depressed in the middle, like a navel, as a flower, fruit, or leaf; navel-shaped; having an umbilicus; as, an umbilicated smallpox vesicle._ Supported by a stalk at the central point.
Umbilication_n._ A slight, navel-like depression, or dimpling, of the center of a rounded body; as, the umbilication of a smallpox vesicle; also, the condition of being umbilicated.
Umbilicus_n._ The depression, or mark, in the median line of the abdomen, which indicates the point where the umbilical cord separated from the fetus; the navel._ An ornamented or painted ball or boss fastened at each end of the stick on which manuscripts were rolled._ The hilum._ A depression or opening in the center of the base of many spiral shells._ Either one of the two apertures in the calamus of a feather._ One of foci of an ellipse, or other curve._ A point of a surface at which the curvatures of the normal sections are all equal to each other. A sphere may be osculatory to the surface in every direction at an umbilicus. Called also umbilic.
Umble pie__ A pie made of umbles. See To eat humble pie, under Humble.
Umbles_n. pl._ The entrails and coarser parts of a deer; hence, sometimes, entrails, in general.
Umbones_pl. _ of Umbo
Umbos_pl. _ of Umbo
