Caaba_n._ The small and nearly cubical stone building, toward which all Mohammedans must pray.
Caas_n. sing. & pl._ Case.
Cab_n._ A kind of close carriage with two or four wheels, usually a public vehicle._ The covered part of a locomotive, in which the engineer has his station._ A Hebrew dry measure, containing a little over two (2.37) pints.
Cabal_n._ Tradition; occult doctrine. See Cabala_ A secret._ A number of persons united in some close design, usually to promote their private views and interests in church or state by intrigue; a secret association composed of a few designing persons; a junto._ The secret artifices or machinations of a few persons united in a close design; intrigue.
Caballed_imp. & p. p._ of Cabal
Caballing_p. pr. & vb. n._ of Cabal
Cabal_v. i._ To unite in a small party to promote private views and interests by intrigue; to intrigue; to plot.
Cabala_n._ A kind of occult theosophy or traditional interpretation of the Scriptures among Jewish rabbis and certain mediaeval Christians, which treats of the nature of god and the mystery of human existence. It assumes that every letter, word, number, and accent of Scripture contains a hidden sense; and it teaches the methods of interpretation for ascertaining these occult meanings. The cabalists pretend even to foretell events by this means._ Secret science in general; mystic art; mystery.
Cabalism_n._ The secret science of the cabalists._ A superstitious devotion to the mysteries of the religion which one professes.
Cabalist_n._ One versed in the cabala, or the mysteries of Jewish traditions.
Cabalistic_a._ Alt. of Cabalistical
Cabalistical_a._ Of or pertaining to the cabala; containing or conveying an occult meaning; mystic.
Cabalistically_adv._ In a cabalistic manner.
Cabalize_v. i._ To use cabalistic language.
Caballer_n._ One who cabals.
Caballine_a._ Of or pertaining to a horse.
Caballine_n._ Caballine aloes.
Cabaret_n._ A tavern; a house where liquors are retailed._ a type of restaurant where liquor and dinner is served, and entertainment is provided, as by musicians, dancers, or comedians, and providing space for dancing by the patrons; -- similar to a nightclub.  The term cabaret is often used in the names of such an establishment._ the type of entertainment provided in a cabaret{2}.
Cabas_n._ A flat basket or frail for figs, etc.; hence, a lady's flat workbasket, reticule, or hand bag; -- often written caba.
Cabassou_n._ A species of armadillo of the genus Xenurus (X. unicinctus and X. hispidus); the tatouay.
Cabbage_n._ An esculent vegetable of many varieties, derived from the wild Brassica oleracea of Europe. The common cabbage has a compact head of leaves. The cauliflower, Brussels sprouts, etc., are sometimes classed as cabbages._ The terminal bud of certain palm trees, used, like, cabbage, for food. See Cabbage tree, below._ The cabbage palmetto. See below.
Cabbage_v. i._ To form a head like that the cabbage; as, to make lettuce cabbage.
Cabbaged_imp. & p. p_ of Cabbage
Cabbaging_p. pr. & vb. n._ of Cabbage
Cabbage_v. i._ To purloin or embezzle, as the pieces of cloth remaining after cutting out a garment; to pilfer.
Cabbage_n._ Cloth or clippings cabbaged or purloined by one who cuts out garments.
Cabbler_n._ One who works at cabbling.
Cabbling_n._ The process of breaking up the flat masses into which wrought iron is first hammered, in order that the pieces may be reheated and wrought into bar iron.
Cabeca_n._ Alt. of Cabesse
Cabesse_n._ The finest kind of silk received from India.
Caber_n._ A pole or beam used in Scottish games for tossing as a trial of strength.
Cabezon_n._ A California fish (Hemilepidotus spinosus), allied to the sculpin.
Cabiai_n._ The capybara. See Capybara.
Cabin_n._ A cottage or small house; a hut._ A small room; an inclosed place._ A room in ship for officers or passengers.
Cabined_imp. & p. p._ of Cabin
Cabining_p. pr. & vb. n._ of Cabin
Cabin_v. i._ To live in, or as in, a cabin; to lodge.
Cabin_v. t._ To confine in, or as in, a cabin.
Cabinet_n._ A hut; a cottage; a small house._ A small room, or retired apartment; a closet._ A private room in which consultations are held._ The advisory council of the chief executive officer of a nation; a cabinet council._ A set of drawers or a cupboard intended to contain articles of value. Hence:_ A decorative piece of furniture, whether open like an etagere or closed with doors. See Etagere._ Any building or room set apart for the safe keeping and exhibition of works of art, etc.; also, the collection itself.
Cabinet_a._ Suitable for a cabinet; small.
Cabineting_p. pr. & vb. n._ of Cabinet
Cabinet_v. i._ To inclose
Cabinetmaker_n._ One whose occupation is to make cabinets or other choice articles of household furniture, as tables, bedsteads, bureaus, etc.
