Waag_n._ The grivet.
Waahoo_n._ The burning bush; -- said to be called after a quack medicine made from it.
Wabble_v. i._ To move staggeringly or unsteadily from one side to the other; to vacillate; to move the manner of a rotating disk when the axis of rotation is inclined to that of the disk; -- said of a turning or whirling body; as, a top wabbles; a buzz saw wabbles.
Wabble_n._ A hobbling, unequal motion, as of a wheel unevenly hung; a staggering to and fro.
Wabbly_a._ Inclined to wabble; wabbling.
Wacke_n._ Alt. of Wacky
Wacky_n._ A soft, earthy, dark-colored rock or clay derived from the alteration of basalt.
Wad_n._ Woad._ A little mass, tuft, or bundle, as of hay or tow._ Specifically: A little mass of some soft or flexible material, such as hay, straw, tow, paper, or old rope yarn, used for retaining a charge of powder in a gun, or for keeping the powder and shot close; also, to diminish or avoid the effects of windage. Also, by extension, a dusk of felt, pasteboard, etc., serving a similar purpose._ A soft mass, especially of some loose, fibrous substance, used for various purposes, as for stopping an aperture, padding a garment, etc.
Waded_imp. & p. p._ of Wad
Wadding_p. pr. & vb. n._ of Wad
Wad_v. t._ To form into a mass, or wad, or into wadding; as, to wad tow or cotton._ To insert or crowd a wad into; as, to wad a gun; also, to stuff or line with some soft substance, or wadding, like cotton; as, to wad a cloak.
Wad_n._ Alt. of Wadd
Wadd_n._ An earthy oxide of manganese, or mixture of different oxides and water, with some oxide of iron, and often silica, alumina, lime, or baryta; black ocher. There are several varieties._ Plumbago, or black lead.
Wadding_n._ A wad, or the materials for wads; any pliable substance of which wads may be made._ Any soft stuff of loose texture, used for stuffing or padding garments; esp., sheets of carded cotton prepared for the purpose.
Waddled_imp. & p. p._ of Waddle
Waddling_p. pr. & vb. n._ of Waddle
Waddle_v. i._ To walk with short steps, swaying the body from one side to the other, like a duck or very fat person; to move clumsily and totteringly along; to toddle; to stumble; as, a child waddles when he begins to walk; a goose waddles.
Waddle_v. t._ To trample or tread down, as high grass, by walking through it.
Waddler_n._ One who, or that which, waddles.
Waddlingly_adv._ In a waddling manner.
Wade_n._ Woad.
Waded_imp. & p. p._ of Wade
Wading_p. pr. & vb. n._ of Wade
Wade_v. i._ To go; to move forward._ To walk in a substance that yields to the feet; to move, sinking at each step, as in water, mud, sand, etc._ Hence, to move with difficulty or labor; to proceed /lowly among objects or circumstances that constantly /inder or embarrass; as, to wade through a dull book.
Wade_v. t._ To pass or cross by wading; as, he waded /he rivers and swamps.
Wade_n._ The act of wading.
Wader_n._ One who, or that which, wades._ Any long-legged bird that wades in the water in search of food, especially any species of limicoline or grallatorial birds; -- called also wading bird.  See Illust. g, under Aves.
Wading__ a. & n. from Wade, v.
