Ta_v. t._ To take.
Taas_n._ A heap. See Tas.
Tab_n._ The flap or latchet of a shoe fastened with a string or a buckle._ A tag. See Tag, 2._ A loop for pulling or lifting something._ A border of lace or other material, worn on the inner front edge of ladies' bonnets._ A loose pendent part of a lady's garment; esp., one of a series of pendent squares forming an edge or border.
Tabacco_n._ Tobacco.
Tabanus_n._ A genus of blood sucking flies, including the horseflies.
Tabard_n._ A sort of tunic or mantle formerly worn for protection from the weather. When worn over the armor it was commonly emblazoned with the arms of the wearer, and from this the name was given to the garment adopted for heralds.
Tabarder_n._ One who wears a tabard._ A scholar on the foundation of Queen's College, Oxford, England, whose original dress was a tabard.
Tabaret_n._ A stout silk having satin stripes, -- used for furniture.
Tabasheer_n._ A concretion in the joints of the bamboo, which consists largely or chiefly of pure silica. It is highly valued in the East Indies as a medicine for the cure of bilious vomitings, bloody flux, piles, and various other diseases.
Tabbinet_n._ A fabric like poplin, with a watered surface.
Tabbies_pl. _ of Tabby
Tabby_n._ A kind of waved silk, usually called watered silk, manufactured like taffeta, but thicker and stronger. The watering is given to it by calendering._ A mixture of lime with shells, gravel, or stones, in equal proportions, with an equal proportion of water. When dry, this becomes as hard as rock._ A brindled cat; hence, popularly, any cat._ An old maid or gossip.
Tabby_a._ Having a wavy or watered appearance; as, a tabby waistcoat._ Brindled; diversified in color; as, a tabby cat.
Tabbied_imp. & p. p._ of Tabby
Tabbying_p. pr. & vb. n._ of Tabby
Tabby_v. t._ To water; to cause to look wavy, by the process of calendering; to calender; as, to tabby silk, mohair, ribbon, etc.
Tabefaction_n._ A wasting away; a gradual losing of flesh by disease.
Tabefied_imp. & p. p._ of Tabefy
Tabefying_p. pr. & vb. n._ of Tabefy
Tabefy_v. t._ To cause to waste gradually, to emaciate.
Tabellion_n._ A secretary or notary under the Roman empire; also, a similar officer in France during the old monarchy.
Taber_v. i._ Same as Tabor.
Taberd_n._ See Tabard.
Tabernacle_n._ A slightly built or temporary habitation; especially, a tent._ A portable structure of wooden framework covered with curtains, which was carried through the wilderness in the Israelitish exodus, as a place of sacrifice and worship._ Hence, the Jewish temple; sometimes, any other place for worship._ Figuratively: The human body, as the temporary abode of the soul._ Any small cell, or like place, in which some holy or precious things was deposited or kept._ The ornamental receptacle for the pyx, or for the consecrated elements, whether a part of a building or movable._ A niche for the image of a saint, or for any sacred painting or sculpture._ Hence, a work of art of sacred subject, having a partially architectural character, as a solid frame resting on a bracket, or the like._ A tryptich for sacred imagery._ A seat or stall in a choir, with its canopy._ A boxlike step for a mast with the after side open, so that the mast can be lowered to pass under bridges, etc.
Tabernacled_imp. & p. p._ of Tabernacle
Tabernacling_p. pr. & vb. n._ of Tabernacle
Tabernacle_v. i._ To dwell or reside for a time; to be temporary housed.
Tabernacular_a._ Of or pertaining to a tabernacle, especially the Jewish tabernacle._ Formed in latticework; latticed._ Of or pertaining to huts or booths; hence, common; low.
Tabes_n._ Progressive emaciation of the body, accompained with hectic fever, with no well-marked logical symptoms.
Tabescent_a._ Withering, or wasting away.
Tabetic_a._ Of or pertaining to tabes; of the nature of tabes; affected with tabes; tabid.
Tabetic_n._ One affected with tabes.
Tabid_a._ Affected by tabes; tabetic.
Tabific_a._ Alt. of Tabifical
Tabifical_a._ Producing tabes; wasting; tabefying.
Tabinet_n._ See Tabbinet.
Tablature_n._ A painting on a wall or ceiling; a single piece comprehended in one view, and formed according to one design; hence, a picture in general._ An ancient mode of indicating musical sounds by letters and other signs instead of by notes._ Division into plates or tables with intervening spaces; as, the tablature of the cranial bones.
